population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,68,Republic of Korea,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11152.851470305659,12161.33564690233,10323.94239906312
1,All Population,5,Prevalence,82,Greece,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1516966746937988,0.1667399367452821,0.1386804041417745
1,All Population,5,Prevalence,82,Greece,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,14141.192672486011,15556.61582251276,12959.533647617369
1,All Population,5,Prevalence,144,Jordan,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1291135490671711,0.1385662429285784,0.1181906475263528
1,All Population,5,Prevalence,144,Jordan,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,12459.28742829232,13360.17687937671,11418.56227699448
1,All Population,5,Prevalence,176,Comoros,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1097857752699501,0.1205679125799039,0.0998509209820579
1,All Population,5,Prevalence,176,Comoros,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,10842.17522166219,11880.99402741188,9832.45646931504
1,All Population,5,Prevalence,91,Portugal,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1702158472537901,0.1905261142120752,0.1538734541852708
1,All Population,5,Prevalence,91,Portugal,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,15777.402211519659,17588.34044397819,14259.328151878559
1,All Population,5,Prevalence,183,Mauritius,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.0907614477821167,0.1005657681732957,0.0814594633575074
1,All Population,5,Prevalence,183,Mauritius,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,8839.41889020794,9769.68301219899,7924.89023571782
1,All Population,5,Prevalence,115,Jamaica,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1280043046350321,0.1397409361444002,0.1162059687994426
1,All Population,5,Prevalence,115,Jamaica,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,12511.27416893407,13684.59945533554,11379.32857827956
1,All Population,5,Prevalence,216,Senegal,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1131519874347337,0.1231404897090291,0.1027012631447191
1,All Population,5,Prevalence,216,Senegal,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11261.99981125058,12252.72408456185,10224.11730661032
1,All Population,5,Prevalence,118,Suriname,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1372369934313645,0.1493631429693909,0.124979207743453
1,All Population,5,Prevalence,118,Suriname,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13462.957387320072,14693.0049417012,12278.87058663358
1,All Population,5,Prevalence,37,Kyrgyzstan,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.100514298984019,0.1116471776357919,0.0906469636908792
1,All Population,5,Prevalence,37,Kyrgyzstan,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,9781.588191188139,10844.44157687888,8784.049870147779
1,All Population,5,Prevalence,105,Antigua and Barbuda,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1414878228706913,0.1539703910685945,0.1290906640429084
1,All Population,5,Prevalence,105,Antigua and Barbuda,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13760.183006625932,14993.73113613278,12549.809310556358
1,All Population,5,Prevalence,202,Cameroon,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1218674548307153,0.1332280864575463,0.1106414419688049
1,All Population,5,Prevalence,202,Cameroon,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,12151.33886046961,13283.83567246696,11025.900778113019
1,All Population,5,Prevalence,165,Pakistan,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1144513349351968,0.1265894043903865,0.1039892252466981
1,All Population,5,Prevalence,165,Pakistan,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11218.570405412689,12413.05123232319,10209.840958941779
1,All Population,5,Prevalence,28,Solomon Islands,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.0970174415850654,0.1090893871517714,0.0855533490608503
1,All Population,5,Prevalence,28,Solomon Islands,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,9584.4847591821,10772.96460439493,8434.57333357471
1,All Population,5,Prevalence,157,Yemen,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1334733829464891,0.1431788180291094,0.1221021274667142
1,All Population,5,Prevalence,157,Yemen,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13288.170123058371,14259.11204187102,12160.16556762541
1,All Population,5,Prevalence,152,Saudi Arabia,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1365096118067646,0.1544943174087019,0.1209784989711647
1,All Population,5,Prevalence,152,Saudi Arabia,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13316.263990185482,15079.030791988702,11786.061562429111
1,All Population,5,Prevalence,169,Central African Republic,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1356720388161063,0.149467040366712,0.1198874898300326
1,All Population,5,Prevalence,169,Central African Republic,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13554.090232361801,14934.32490816487,11976.44919614184
1,All Population,5,Prevalence,75,Austria,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1272228120809911,0.1423337551225346,0.1147387615975642
1,All Population,5,Prevalence,75,Austria,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11740.177305558009,13097.92661896033,10630.86220755793
1,All Population,5,Prevalence,20,Viet Nam,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.0748698664120066,0.082173726216268,0.0676959695364862
1,All Population,5,Prevalence,20,Viet Nam,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,7421.39175010627,8143.33824344568,6711.891712027609
